source,target,capacity
Node_3,Node_636,1.7423
Node_3,Node_683,7.4432
Node_3,Node_721,0.8337
Node_3,Node_735,0.3949
Node_3,Node_827,7.8901
Node_3,Node_829,1.7788
Node_3,Node_839,0.4075
Node_3,Node_875,0.554
Node_3,Node_909,0.1171
Node_3,Node_954,0.5584
Node_3,Node_970,0.1646
Node_4,Node_6,4.887
Node_4,Node_7,5.9356
Node_4,Node_8,5.5917
Node_4,Node_9,6.1436
Node_4,Node_10,5.5249
Node_4,Node_11,7.7719
Node_4,Node_14,2.1732
Node_4,Node_15,1.0269
Node_4,Node_16,0.5328
Node_4,Node_17,2.5727
Node_4,Node_21,0.6943
Node_4,Node_22,1.5768
Node_4,Node_23,1.2199
Node_4,Node_24,3.2436
Node_4,Node_29,1.791
Node_4,Node_32,3.0827
Node_4,Node_45,1.3344
Node_4,Node_53,1.9064
Node_4,Node_54,0.6729
Node_4,Node_65,0.7505
Node_4,Node_69,1.8481
Node_4,Node_75,0.0999
Node_4,Node_92,5.4997
Node_4,Node_98,10.3062
Node_4,Node_111,0.3335
Node_4,Node_113,3.3245
Node_4,Node_123,2.7032
Node_4,Node_130,0.6
Node_4,Node_189,1.2535
Node_4,Node_197,3.0697
Node_4,Node_274,4.1557
Node_4,Node_277,6.4213
Node_4,Node_304,0.1602
Node_4,Node_306,10.2106
Node_4,Node_308,2.1456
Node_4,Node_318,1.1581
Node_4,Node_319,0.4141
Node_4,Node_352,0.2775
Node_4,Node_354,3.8328
Node_4,Node_365,1.0767
Node_4,Node_380,8.1374
Node_4,Node_401,4.5371
Node_4,Node_429,3.9506
Node_4,Node_445,3.1745
Node_4,Node_447,1.1001
Node_4,Node_464,1.8497
Node_4,Node_538,1.6295
Node_4,Node_539,4.2584
Node_4,Node_570,4.6517
Node_4,Node_583,1.6279
Node_4,Node_663,1.7482
Node_4,Node_686,3.653
Node_4,Node_748,0.4795
Node_4,Node_768,0.1986
Node_4,Node_777,7.0224
Node_4,Node_796,0.6009
Node_4,Node_798,0.128
Node_4,Node_800,1.2427
Node_4,Node_814,3.7955
Node_4,Node_869,4.2432
Node_4,Node_892,4.4758
Node_4,Node_901,6.6985
Node_4,Node_928,3.4405
Node_4,Node_939,1.1315
Node_4,Node_944,2.8938
Node_4,Node_956,1.8451
Node_4,Node_970,6.4569
Node_4,Node_976,0.4576
Node_5,Node_9,5.0702
Node_5,Node_12,2.3185
Node_5,Node_13,1.5777
Node_5,Node_16,4.8475
Node_5,Node_22,1.5393
Node_5,Node_26,7.758
Node_5,Node_33,4.7738
Node_5,Node_34,3.8686
Node_5,Node_52,0.774
Node_5,Node_63,3.3997
Node_5,Node_81,0.3572
Node_5,Node_110,16.3454
Node_5,Node_111,8.565
Node_5,Node_163,5.8813
Node_5,Node_175,0.7478
Node_5,Node_178,0.8537
Node_5,Node_210,2.5541
Node_5,Node_232,6.4256
Node_5,Node_281,1.3792
Node_5,Node_298,2.1577
Node_5,Node_312,3.3905
Node_5,Node_388,7.6861
Node_5,Node_457,6.9223
Node_5,Node_477,0.5115
Node_5,Node_581,6.3301
Node_5,Node_619,1.3846
Node_5,Node_631,14.2153
Node_5,Node_652,5.9172
Node_5,Node_656,1.0265
Node_5,Node_723,2.7345
Node_5,Node_743,1.6235
Node_5,Node_794,3.2438
Node_5,Node_829,0.118
Node_5,Node_843,6.3273
Node_5,Node_850,1.3503
Node_5,Node_990,5.9697
Node_5,Node_995,0.3288
Node_6,Node_7,0.9247
Node_6,Node_8,6.2421
Node_6,Node_9,3.2183
Node_6,Node_11,1.439
Node_6,Node_12,4.9268
Node_6,Node_13,4.1873
Node_6,Node_14,3.0846
Node_6,Node_15,2.7849
Node_6,Node_18,1.3746
Node_6,Node_19,0.0459
Node_6,Node_23,4.7738
Node_6,Node_27,1.9422
Node_6,Node_30,0.3859
Node_6,Node_39,3.4565
Node_6,Node_46,0.0306
Node_6,Node_56,4.0255
Node_6,Node_59,4.5298
Node_6,Node_65,3.3473
Node_6,Node_66,2.1835
Node_6,Node_67,5.5246
Node_6,Node_72,0.8135
Node_6,Node_83,6.3831
Node_6,Node_104,0.1687
Node_6,Node_131,8.9049
Node_6,Node_144,0.92
Node_6,Node_146,2.4547
Node_6,Node_181,0.7377
Node_6,Node_195,0.8055
Node_6,Node_203,6.7082
Node_6,Node_226,6.0101
Node_6,Node_239,6.1667
Node_6,Node_242,2.9914
Node_6,Node_243,1.488
Node_6,Node_252,4.7216
Node_6,Node_286,0.4096
Node_6,Node_292,1.5128
Node_6,Node_295,0.1016
Node_6,Node_340,3.8218
Node_6,Node_373,9.7309
Node_6,Node_384,2.9485
Node_6,Node_448,2.7204
Node_6,Node_473,0.0784
Node_6,Node_501,4.3724
Node_6,Node_518,0.952
Node_6,Node_584,0.9944
Node_6,Node_608,3.343
Node_6,Node_617,1.1673
Node_6,Node_641,0.7361
Node_6,Node_707,1.1154
Node_6,Node_746,4.2722
Node_6,Node_766,4.4691
Node_6,Node_779,0.2742
Node_6,Node_816,0.1866
Node_6,Node_838,4.3568
Node_6,Node_845,6.4751
Node_6,Node_848,2.8875
Node_6,Node_874,1.7192
Node_6,Node_892,9.8808
Node_6,Node_923,2.6988
Node_6,Node_963,2.0513
Node_6,Node_978,7.7264
Node_7,Node_8,4.1926
Node_7,Node_9,0.2936
Node_7,Node_10,2.6954
Node_7,Node_17,1.8571
Node_7,Node_18,0.9458
Node_7,Node_19,0.1779
Node_7,Node_20,0.4393
Node_7,Node_23,0.3752
Node_7,Node_30,4.8505
Node_7,Node_34,2.3283
Node_7,Node_35,1.9831
Node_7,Node_42,2.6963
Node_7,Node_43,2.2692
Node_7,Node_47,2.8757
Node_7,Node_48,0.3649
Node_7,Node_49,0.8609
Node_7,Node_51,4.4442
Node_7,Node_55,6.2715
Node_7,Node_69,2.6399
Node_7,Node_70,2.7292
Node_7,Node_75,0.4324
Node_7,Node_92,0.2577
Node_7,Node_97,6.6812
Node_7,Node_98,0.9116
Node_7,Node_113,2.6203
Node_7,Node_114,1.3895
Node_7,Node_130,0.6264
Node_7,Node_145,3.5667
Node_7,Node_146,0.8644
Node_7,Node_149,0.912
Node_7,Node_168,2.504
Node_7,Node_230,0.0828
Node_7,Node_238,0.1549
Node_7,Node_248,2.6046
Node_7,Node_284,8.2024
Node_7,Node_295,2.7228
Node_7,Node_316,1.069
Node_7,Node_330,10.7914
Node_7,Node_336,9.6135
Node_7,Node_357,3.9193
Node_7,Node_370,0.9755
Node_7,Node_419,1.8876
Node_7,Node_428,0.6979
Node_7,Node_440,0.1477
Node_7,Node_456,1.9909
Node_7,Node_470,0.7084
Node_7,Node_475,2.0301
Node_7,Node_477,0.2429
Node_7,Node_500,4.9125
Node_7,Node_504,2.1642
Node_7,Node_511,1.527
Node_7,Node_553,0.1407
Node_7,Node_562,1.0384
Node_7,Node_567,1.2349
Node_7,Node_570,2.6722
Node_7,Node_606,2.4264
Node_7,Node_620,2.0735
Node_7,Node_643,0.604
Node_7,Node_660,0.2503
Node_7,Node_669,5.4642
Node_7,Node_679,0.8072
Node_7,Node_733,1.4967
Node_7,Node_746,3.0418
Node_7,Node_755,0.3485
Node_7,Node_757,1.6866
Node_7,Node_812,1.0669
Node_7,Node_840,2.4601
Node_7,Node_869,2.9027
Node_7,Node_872,2.7416
Node_8,Node_13,2.4436
Node_8,Node_14,1.6478
Node_8,Node_15,3.9321
Node_8,Node_16,3.753
Node_8,Node_17,0.8629
Node_8,Node_23,4.309
Node_8,Node_28,0.7228
Node_8,Node_33,11.6219
Node_8,Node_40,2.2487
Node_8,Node_41,2.5263
Node_8,Node_44,1.4614
Node_8,Node_48,0.4269
Node_8,Node_49,0.0338
Node_8,Node_52,2.0988
Node_8,Node_58,3.2104
Node_8,Node_62,1.2727
Node_8,Node_78,1.3035
Node_8,Node_79,3.6646
Node_8,Node_94,0.0285
Node_8,Node_98,1.4944
Node_8,Node_100,1.5048
Node_8,Node_108,3.5148
Node_8,Node_111,0.874
Node_8,Node_120,0.4453
Node_8,Node_132,2.548
Node_8,Node_141,17.3158
Node_8,Node_143,2.1262
Node_8,Node_148,2.9385
Node_8,Node_155,3.9975
Node_8,Node_164,13.1044
Node_8,Node_167,10.1671
Node_8,Node_170,1.9169
Node_8,Node_175,4.0703
Node_8,Node_183,1.5498
Node_8,Node_204,1.1081
Node_8,Node_206,8.2437
Node_8,Node_221,1.88
Node_8,Node_243,0.6713
Node_8,Node_244,0.5495
Node_8,Node_251,0.4879
Node_8,Node_257,1.8057
Node_8,Node_272,1.2672
Node_8,Node_282,0.4267
Node_8,Node_317,3.9196
Node_8,Node_331,2.2537
Node_8,Node_353,0.1892
Node_8,Node_368,7.0002
Node_8,Node_384,0.6607
Node_8,Node_386,3.5399
Node_8,Node_404,3.3486
Node_8,Node_450,1.0529
Node_8,Node_455,1.5246
Node_8,Node_459,1.3967
Node_8,Node_461,2.8336
Node_8,Node_462,4.1762
Node_8,Node_488,5.2556
Node_8,Node_510,8.1778
Node_8,Node_512,0.2601
Node_8,Node_528,4.1726
Node_8,Node_530,1.7457
Node_8,Node_531,3.9118
Node_8,Node_542,3.2921
Node_8,Node_575,2.9355
Node_8,Node_576,1.5424
Node_8,Node_578,10.4419
Node_8,Node_614,0.4853
Node_8,Node_629,9.2506
Node_8,Node_630,4.4551
Node_8,Node_637,1.6941
Node_8,Node_647,2.3799
Node_8,Node_747,5.2919
Node_8,Node_787,2.6402
Node_8,Node_794,6.3486
Node_8,Node_796,5.428
Node_8,Node_831,8.8297
Node_8,Node_863,4.865
Node_8,Node_870,2.6261
Node_8,Node_883,0.4135
Node_8,Node_911,4.5317
Node_8,Node_930,3.0452
Node_8,Node_938,6.6196
Node_8,Node_941,3.0341
Node_8,Node_954,5.2281
Node_8,Node_962,6.0025
Node_8,Node_995,1.8941
Node_9,Node_10,3.4522
Node_9,Node_16,9.9545
Node_9,Node_18,0.4954
Node_9,Node_24,0.3011
Node_9,Node_27,5.4224
Node_9,Node_30,0.0257
Node_9,Node_35,6.5339
Node_9,Node_45,0.01
Node_9,Node_46,1.3966
Node_9,Node_49,1.4889
Node_9,Node_79,5.2995
Node_9,Node_86,7.966
Node_9,Node_89,8.7797
Node_9,Node_100,2.1506
Node_9,Node_109,0.1719
Node_9,Node_113,5.9729
Node_9,Node_124,8.3142
Node_9,Node_146,4.366
Node_9,Node_169,0.6882
Node_9,Node_192,0.3824
Node_9,Node_246,2.7742
Node_9,Node_249,1.1855
Node_9,Node_256,0.4085
Node_9,Node_270,1.8645
Node_9,Node_301,1.4435
Node_9,Node_321,4.367
Node_9,Node_340,14.2172
Node_9,Node_360,5.9243
Node_9,Node_382,2.9872
Node_9,Node_385,8.5331
Node_9,Node_422,1.192
Node_9,Node_448,3.3832
Node_9,Node_453,0.4461
Node_9,Node_458,0.1352
Node_9,Node_532,1.2459
Node_9,Node_535,0.1397
Node_9,Node_557,4.1658
Node_9,Node_558,4.0054
Node_9,Node_566,0.492
Node_9,Node_643,1.2758
Node_9,Node_668,2.3422
Node_9,Node_680,8.4048
Node_9,Node_743,0.5061
Node_9,Node_750,3.4102
Node_9,Node_763,1.4725
Node_9,Node_815,0.83
Node_9,Node_823,0.1366
Node_9,Node_841,1.9442
Node_10,Node_11,0.4146
Node_10,Node_16,1.5364
Node_10,Node_20,0.3761
Node_10,Node_21,0.1446
Node_10,Node_27,8.3189
Node_10,Node_28,0.2607
Node_10,Node_29,13.5038
Node_10,Node_33,3.6173
Node_10,Node_35,1.9071
Node_10,Node_40,9.0826
Node_10,Node_45,8.2823
Node_10,Node_46,1.6569
Node_10,Node_50,4.8143
Node_10,Node_52,4.6675
Node_10,Node_57,0.057
Node_10,Node_58,4.0984
Node_10,Node_76,1.7709
Node_10,Node_89,0.589
Node_10,Node_91,9.2032
Node_10,Node_98,6.5667
Node_10,Node_102,0.5239
Node_10,Node_106,9.9295
Node_10,Node_111,3.1954
Node_10,Node_112,3.57
Node_10,Node_115,0.0945
Node_10,Node_118,0.4423
Node_10,Node_132,0.0731
Node_10,Node_141,0.38
Node_10,Node_147,1.7326
Node_10,Node_148,2.9798
Node_10,Node_154,3.0235
Node_10,Node_170,0.6061
Node_10,Node_176,0.2983
Node_10,Node_177,0.7219
Node_10,Node_178,0.8725
Node_10,Node_189,6.4625
Node_10,Node_201,2.4266
Node_10,Node_203,7.4996
Node_10,Node_219,1.5439
Node_10,Node_225,5.6234
Node_10,Node_234,12.932
Node_10,Node_254,4.3885
Node_10,Node_256,1.2068
Node_10,Node_261,0.7314
Node_10,Node_280,0.5726
Node_10,Node_299,0.1114
Node_10,Node_300,1.3576
Node_10,Node_301,0.0487
Node_10,Node_313,2.5087
Node_10,Node_331,0.5248
Node_10,Node_419,0.1537
Node_10,Node_426,4.3074
Node_10,Node_432,12.7579
Node_10,Node_439,2.8283
Node_10,Node_450,2.5753
Node_10,Node_451,1.0226
Node_10,Node_462,4.0068
Node_10,Node_497,0.4123
Node_10,Node_563,1.5127
Node_10,Node_621,2.1058
Node_10,Node_629,0.134
Node_10,Node_634,0.4243
Node_10,Node_655,0.535
Node_10,Node_657,5.9136
Node_10,Node_712,1.1711
Node_10,Node_713,2.4065
Node_10,Node_722,2.1796
Node_10,Node_750,0.1891
Node_10,Node_776,0.8559
Node_10,Node_789,0.0872
Node_10,Node_801,1.2067
Node_10,Node_835,2.1044
Node_10,Node_861,2.8581
Node_10,Node_871,0.1003
Node_10,Node_896,0.34
Node_10,Node_904,0.9782
Node_11,Node_12,9.5105
Node_11,Node_14,1.7897
Node_11,Node_18,3.892
Node_11,Node_20,4.0267
Node_11,Node_25,4.5394
Node_11,Node_32,3.8799
Node_11,Node_33,1.1396
Node_11,Node_37,10.1498
Node_11,Node_39,0.3917
Node_11,Node_53,0.3596
Node_11,Node_70,2.0306
Node_11,Node_74,2.8174
Node_11,Node_77,4.4576
Node_11,Node_103,1.0709
Node_11,Node_112,3.1101
Node_11,Node_200,0.0438
Node_11,Node_220,0.6477
Node_11,Node_223,0.4717
Node_11,Node_237,0.7497
Node_11,Node_295,0.538
Node_11,Node_427,1.137
Node_11,Node_433,2.4327
Node_11,Node_464,1.1608
Node_11,Node_469,1.8649
Node_11,Node_536,2.0237
Node_11,Node_547,3.7515
Node_11,Node_569,2.5971
Node_11,Node_586,2.2606
Node_11,Node_588,1.5556
Node_11,Node_739,0.9851
Node_11,Node_852,3.7357
Node_11,Node_860,11.357
Node_11,Node_895,1.7486
Node_11,Node_913,1.0102
Node_12,Node_15,1.087
Node_12,Node_17,2.0208
Node_12,Node_19,2.6942
Node_12,Node_20,0.681
Node_12,Node_33,0.606
Node_12,Node_34,0.4064
Node_12,Node_35,0.2916
Node_12,Node_36,4.8614
Node_12,Node_40,0.4872
Node_12,Node_49,4.2953
Node_12,Node_64,4.7699
Node_12,Node_65,0.432
Node_12,Node_67,8.1939
Node_12,Node_72,0.3849
Node_12,Node_80,0.3874
Node_12,Node_83,6.3081
Node_12,Node_84,1.1232
Node_12,Node_106,0.4331
Node_12,Node_109,3.257
Node_12,Node_123,2.6618
Node_12,Node_137,0.7468
Node_12,Node_147,1.0182
Node_12,Node_150,1.4383
Node_12,Node_167,6.7937
Node_12,Node_168,4.8618
Node_12,Node_191,3.4271
Node_12,Node_199,0.3682
Node_12,Node_206,0.6462
Node_12,Node_207,2.2762
Node_12,Node_208,2.6
Node_12,Node_217,0.2472
Node_12,Node_262,0.4479
Node_12,Node_279,1.0172
Node_12,Node_284,2.3946
Node_12,Node_295,4.8869
Node_12,Node_302,0.9859
Node_12,Node_326,1.9324
Node_12,Node_334,0.2876
Node_12,Node_357,5.0394
Node_12,Node_369,1.3031
Node_12,Node_372,0.8812
Node_12,Node_407,1.501
Node_12,Node_410,17.0587
Node_12,Node_413,1.9496
Node_12,Node_419,0.7644
Node_12,Node_464,6.1138
Node_12,Node_470,6.3178
Node_12,Node_503,2.0638
Node_12,Node_530,7.275
Node_12,Node_537,0.4253
Node_12,Node_541,3.3693
Node_12,Node_561,2.894
Node_12,Node_581,0.0977
Node_12,Node_602,0.7197
Node_12,Node_624,0.9161
Node_12,Node_660,0.477
Node_12,Node_716,4.0354
Node_12,Node_734,0.9631
Node_12,Node_795,1.5375
Node_12,Node_849,4.8922
Node_12,Node_852,3.1558
Node_12,Node_873,1.1213
Node_12,Node_884,0.0931
Node_12,Node_939,4.0655
Node_12,Node_942,1.1282
Node_12,Node_979,0.4616
Node_13,Node_20,5.5091
Node_13,Node_42,8.0269
Node_13,Node_43,6.6517
Node_13,Node_44,2.0245
Node_13,Node_50,0.6458
Node_13,Node_51,3.6206
Node_13,Node_52,2.5069
Node_13,Node_54,1.2984
Node_13,Node_68,3.328
Node_13,Node_78,2.7647
Node_13,Node_83,5.6125
Node_13,Node_84,1.0406
Node_13,Node_137,2.2146
Node_13,Node_151,0.0945
Node_13,Node_155,0.3305
Node_13,Node_158,1.365
Node_13,Node_179,6.1554
Node_13,Node_199,1.333
Node_13,Node_216,0.3612
Node_13,Node_226,1.397
Node_13,Node_249,5.527
Node_13,Node_259,0.1948
Node_13,Node_266,0.6072
Node_13,Node_313,19.6258
Node_13,Node_361,2.17
Node_13,Node_413,0.1769
Node_13,Node_423,1.3109
Node_13,Node_454,3.0943
Node_13,Node_465,0.5444
Node_13,Node_468,5.9557
Node_13,Node_506,16.1124
Node_13,Node_508,9.1297
Node_13,Node_559,0.9304
Node_13,Node_597,0.5602
Node_13,Node_646,0.1047
Node_13,Node_662,2.0859
Node_13,Node_684,13.6548
Node_13,Node_698,2.1998
Node_13,Node_701,5.7242
Node_13,Node_706,2.8834
Node_13,Node_738,4.7305
Node_13,Node_740,2.9296
Node_13,Node_765,1.6879
Node_13,Node_791,3.2188
Node_13,Node_824,1.9586
Node_13,Node_955,2.0866
Node_14,Node_19,0.3591
Node_14,Node_28,0.0715
Node_14,Node_29,1.4297
Node_14,Node_31,0.5794
Node_14,Node_41,2.946
Node_14,Node_44,2.7203
Node_14,Node_48,0.3279
Node_14,Node_53,8.6453
Node_14,Node_54,0.7816
Node_14,Node_62,0.0992
Node_14,Node_82,1.065
Node_14,Node_87,0.3114
Node_14,Node_90,2.5041
Node_14,Node_95,4.3024
Node_14,Node_103,0.0933
Node_14,Node_106,1.489
Node_14,Node_114,1.4404
Node_14,Node_117,6.3214
Node_14,Node_129,2.8718
Node_14,Node_136,0.457
Node_14,Node_167,0.9396
Node_14,Node_176,8.3322
Node_14,Node_217,0.3538
Node_14,Node_219,4.1346
Node_14,Node_231,5.535
Node_14,Node_245,2.379
Node_14,Node_250,1.5317
Node_14,Node_251,7.5241
Node_14,Node_252,4.3659
Node_14,Node_324,1.3915
Node_14,Node_333,6.4659
Node_14,Node_379,0.7032
Node_14,Node_396,0.153
Node_14,Node_418,16.187
Node_14,Node_462,5.175
Node_14,Node_477,0.9891
Node_14,Node_482,0.0504
Node_14,Node_485,1.1931
Node_14,Node_492,2.1803
Node_14,Node_507,1.8715
Node_14,Node_512,1.2376
Node_14,Node_562,3.7636
Node_14,Node_607,3.4641
Node_14,Node_613,3.3467
Node_14,Node_678,1.3937
Node_14,Node_703,3.05
Node_14,Node_715,2.4158
Node_14,Node_724,1.5026
Node_14,Node_739,1.0446
Node_14,Node_758,4.9575
Node_14,Node_772,2.9053
Node_14,Node_773,2.8116
Node_14,Node_780,0.1901
Node_14,Node_783,0.4497
Node_14,Node_786,2.3102
Node_14,Node_815,9.4697
Node_14,Node_949,8.8349
Node_14,Node_981,1.4626
Node_14,Node_988,0.9789
Node_14,Node_989,0.9531
Node_14,Node_993,1.8987
Node_15,Node_17,4.9097
Node_15,Node_21,1.8348
Node_15,Node_25,1.67
Node_15,Node_34,0.0478
Node_15,Node_55,0.2371
Node_15,Node_59,0.1385
Node_15,Node_74,2.4323
Node_15,Node_80,1.828
Node_15,Node_95,2.5858
Node_15,Node_113,2.3352
Node_15,Node_120,0.3671
Node_15,Node_121,3.2771
Node_15,Node_132,7.3559
Node_15,Node_135,8.824
Node_15,Node_138,6.2966
Node_15,Node_182,1.0261
Node_15,Node_192,1.0384
Node_15,Node_193,0.791
Node_15,Node_206,1.7951
Node_15,Node_207,0.9259
Node_15,Node_208,0.5747
Node_15,Node_237,3.2206
Node_15,Node_240,0.9328
Node_15,Node_245,2.4568
Node_15,Node_246,0.5389
Node_15,Node_252,1.6495
Node_15,Node_267,3.0239
Node_15,Node_281,1.2979
Node_15,Node_309,4.3681
Node_15,Node_378,10.8535
Node_15,Node_466,0.8048
Node_15,Node_479,0.7173
Node_15,Node_493,0.0936
Node_15,Node_518,1.3251
Node_15,Node_573,1.1219
Node_15,Node_583,3.144
Node_15,Node_593,0.6194
Node_15,Node_599,2.1299
Node_15,Node_610,5.4204
Node_15,Node_637,4.5354
Node_15,Node_683,3.1657
Node_15,Node_701,0.2889
Node_15,Node_743,0.466
Node_15,Node_778,1.3353
Node_15,Node_838,1.4544
Node_15,Node_933,5.0962
Node_15,Node_943,1.7928
Node_15,Node_991,1.1223
Node_16,Node_25,1.2721
Node_16,Node_39,5.1703
Node_16,Node_57,3.8351
Node_16,Node_78,6.7283
Node_16,Node_104,0.6433
Node_16,Node_109,3.9915
Node_16,Node_110,1.9977
Node_16,Node_132,4.1432
Node_16,Node_139,2.6266
Node_16,Node_142,5.4342
Node_16,Node_204,3.245
Node_16,Node_217,2.193
Node_16,Node_224,1.5006
Node_16,Node_225,4.2816
Node_16,Node_238,0.2307
Node_16,Node_269,4.2742
Node_16,Node_279,1.2836
Node_16,Node_294,3.4777
Node_16,Node_315,2.589
Node_16,Node_356,2.2908
Node_16,Node_402,0.3154
Node_16,Node_459,0.3215
Node_16,Node_528,2.5912
Node_16,Node_542,2.1466
Node_16,Node_549,2.9325
Node_16,Node_624,1.3911
Node_16,Node_719,0.01
Node_16,Node_729,1.5138
Node_16,Node_763,5.2849
Node_16,Node_912,3.6155
Node_16,Node_982,1.0243
Node_17,Node_24,5.3754
Node_17,Node_25,3.5874
Node_17,Node_66,10.4579
Node_17,Node_86,0.3427
Node_17,Node_159,0.9992
Node_17,Node_167,0.6548
Node_17,Node_184,0.6185
Node_17,Node_187,0.4684
Node_17,Node_227,4.7484
Node_17,Node_294,0.2238
Node_17,Node_310,0.0102
Node_17,Node_323,0.2024
Node_17,Node_336,1.1648
Node_17,Node_372,5.8756
Node_17,Node_376,3.3103
Node_17,Node_412,1.3071
Node_17,Node_481,0.847
Node_17,Node_495,2.2964
Node_17,Node_532,13.5026
Node_17,Node_645,2.9054
Node_17,Node_675,0.5914
Node_17,Node_779,1.0599
Node_17,Node_784,0.3261
Node_17,Node_785,0.3307
Node_17,Node_839,6.4095
Node_17,Node_932,3.0988
Node_17,Node_945,7.3901
Node_18,Node_19,3.1453
Node_18,Node_21,0.0749
Node_18,Node_30,2.82
Node_18,Node_38,0.2647
Node_18,Node_44,7.2298
Node_18,Node_62,4.284
Node_18,Node_71,0.4529
Node_18,Node_82,4.0296
Node_18,Node_86,2.271
Node_18,Node_93,3.5877
Node_18,Node_116,8.1473
Node_18,Node_139,0.1099
Node_18,Node_179,2.235
Node_18,Node_223,1.7902
Node_18,Node_225,4.9856
Node_18,Node_227,3.9877
Node_18,Node_265,0.4182
Node_18,Node_285,0.3363
